State,CO2,VR,Year
Andhra Pradesh,13599,7002143,2009
Assam,12627,2217007,2009
Bihar,14571,4163396,2009
Delhi,15543,8292757,2009
Goa,16515,1009362,2009
Gujarat,17487,17091599,2009
Haryana,18459,7238748,2009
Himachal Pradesh,19431,974270,2009
Karnataka,21376,13335106,2009
Kerala,22348,8775041,2009
Maharashtra,23320,23393776,2009
Madhya Pradesh,24292,9721625,2009
Orissa,25264,4701806,2009
Punjab,26236,6262939,2009
Rajasthan,27208,11133420,2009
Tamil Nadu,28181,20863662,2009
Uttar Pradesh,29153,19114692,2009
West Bengal,30125,6745004,2009
Jammu & Kashmir,20404,1133077,2009
Andhra Pradesh,14224,7002143,2010
Assam,13252,2217007,2010
Bihar,15196,4163396,2010
Delhi,16168,8292757,2010
Goa,17141,1009362,2010
Gujarat,18113,17091599,2010
Haryana,19085,7238748,2010
Himachal Pradesh,20057,974270,2010
Karnataka,22001,13335106,2010
Kerala,22973,8775041,2010
Maharashtra,23945,23393776,2010
Madhya Pradesh,24918,9721625,2010
Orissa,25890,4701806,2010
Punjab,26862,6262939,2010
Rajasthan,27834,11133420,2010
Tamil Nadu,28806,20863662,2010
Uttar Pradesh,29778,19114692,2010
West Bengal,30750,6745004,2010
Jammu & Kashmir,21029,1133077,2010
Andhra Pradesh,14850,7002143,2011
Assam,13878,2217007,2011
Bihar,15822,4163396,2011
Delhi,16794,8292757,2011
Goa,17766,1009362,2011
Gujarat,18738,17091599,2011
Haryana,19710,7238748,2011
Himachal Pradesh,20682,974270,2011
Karnataka,22627,13335106,2011
Kerala,23599,8775041,2011
Maharashtra,24571,23393776,2011
Madhya Pradesh,25543,9721625,2011
Orissa,26515,4701806,2011
Punjab,27487,6262939,2011
Rajasthan,28460,11133420,2011
Tamil Nadu,29432,20863662,2011
Uttar Pradesh,30404,19114692,2011
West Bengal,31376,6745004,2011
Jammu & Kashmir,21655,1133077,2011
Andhra Pradesh,15475,7002143,2012
Assam,14503,2217007,2012
Bihar,16447,4163396,2012
Delhi,17420,8292757,2012
Goa,18392,1009362,2012
Gujarat,19364,17091599,2012
Haryana,20336,7238748,2012
Himachal Pradesh,21308,974270,2012
Karnataka,23252,13335106,2012
Kerala,24224,8775041,2012
Maharashtra,25197,23393776,2012
Madhya Pradesh,26169,9721625,2012
Orissa,27141,4701806,2012
Punjab,28113,6262939,2012
Rajasthan,29085,11133420,2012
Tamil Nadu,30057,20863662,2012
Uttar Pradesh,31029,19114692,2012
West Bengal,32001,6745004,2012
Jammu & Kashmir,22280,1133077,2012
Andhra Pradesh,16101,7002143,2013
Assam,15129,2217007,2013
Bihar,17073,4163396,2013
Delhi,18045,8292757,2013
Goa,19017,1009362,2013
Gujarat,19989,17091599,2013
Haryana,20961,7238748,2013
Himachal Pradesh,21934,974270,2013
Karnataka,23878,13335106,2013
Kerala,24850,8775041,2013
Maharashtra,25822,23393776,2013
Madhya Pradesh,26794,9721625,2013
Orissa,27766,4701806,2013
Punjab,28738,6262939,2013
Rajasthan,29711,11133420,2013
Tamil Nadu,30683,20863662,2013
Uttar Pradesh,31655,19114692,2013
West Bengal,32627,6745004,2013
Jammu & Kashmir,22906,1133077,2013
Andhra Pradesh,16726,7002143,2014
Assam,15754,2217007,2014
Bihar,17698,4163396,2014
Delhi,18671,8292757,2014
Goa,19643,1009362,2014
Gujarat,20615,17091599,2014
Haryana,21587,7238748,2014
Himachal Pradesh,22559,974270,2014
Karnataka,24503,13335106,2014
Kerala,25475,8775041,2014
Maharashtra,26448,23393776,2014
Madhya Pradesh,27420,9721625,2014
Orissa,28392,4701806,2014
Punjab,29364,6262939,2014
Rajasthan,30336,11133420,2014
Tamil Nadu,31308,20863662,2014
Uttar Pradesh,32280,19114692,2014
West Bengal,33253,6745004,2014
Jammu & Kashmir,23531,1133077,2014
