State,CO2,VR,Year
Andhra Pradesh,15475,12424328,2012
Assam,14503,1807120,2012
Bihar,16447,3112880,2012
Delhi,17420,7350120,2012
Goa,18392,865609,2012
Gujarat,19364,14413717,2012
Haryana,20336,5978110,2012
Himachal Pradesh,21308,736604,2012
Karnataka,23252,10909601,2012
Kerala,24224,6893314,2012
Maharashtra,25197,19432361,2012
Madhya Pradesh,26169,8144159,2012
Orissa,27141,3758530,2012
Punjab,28113,6262939,2012
Rajasthan,29085,8985478,2012
Tamil Nadu,30057,17412248,2012
Uttar Pradesh,31029,15445274,2012
West Bengal,32001,3860741,2012
Jammu & Kashmir,22280,916898,2012
