State,VR,Year
Andhra Pradesh,8058948,2009
Assam,1234751,2009
Bihar,1959553,2009
Chandigarh,511568,2009
Chhattisgarh,2114589,2009
Dadra & Nagar Haveli,35059,2009
Daman & Diu,42861,2009
Delhi,3846721,2009
Goa,673909,2009
Gujarat,10998651,2009
Haryana,4425221,2009
Himachal Pradesh,494398,2009
Jharkhand,2038020,2009
Karnataka,6952551,2009
Kerala,4859918,2009
Maharashtra,144590908,2009
Madhya Pradesh,6010691,2009
Meghalaya,141877,2009
Mizoram,69882,2009
Manipur,147394,2009
Nagaland,239873,2009
Orissa,2607361,2009
Punjab,4831531,2009
Puduchery,538248,2009
Rajasthan,4715835,2009
Tamil Nadu,10223233,2009
Uttar Pradesh,8521198,2009
Uttarakhand,570359,2009
West Bengal,3043619,2009
Jammu & Kashmir,668445,2009
 Lakshadweep,7235,2009
Tripura,143823,2009
Andaman and Nicobar Islands,59729,2009
Andhra Pradesh,8923139,2010
Assam,1383721,2010
Bihar,2356986,2010
Chandigarh,686316,2010
Chhattisgarh,2435773,2010
Dadra & Nagar Haveli,38635,2010
Daman & Diu,43991,2010
Delhi,4107912,2010
Goa,727042,2010
Gujarat,11872573,2010
Haryana,4791825,2010
Himachal Pradesh,538341,2010
Jharkhand,2767408,2010
Karnataka,9043976,2010
Kerala,5397652,2010
Maharashtra,15768421,2010
Madhya Pradesh,6590576,2010
Meghalaya,158113,2010
Mizoram,80456,2010
Manipur,194452,2010
Nagaland,254483,2010
Orissa,2931832,2010
Punjab,5274254,2010
Puduchery,599129,2010
Rajasthan,5230454,2010
Tamil Nadu,11156048,2010
Uttar Pradesh,9493677,2010
Uttarakhand,583927,2010
West Bengal,2747138,2010
Jammu & Kashmir,738905,2010
 Lakshadweep,7855,2010
Tripura,160119,2010
Andaman and Nicobar Islands,61774,2010
Andhra Pradesh,10189347,2011
Assam,1582128,2011
Bihar,2673209,2011
Chandigarh,711007,2011
Chhattisgarh,2766037,2011
Dadra & Nagar Haveli,43010,2011
Daman & Diu,47247,2011
Delhi,4395086,2011
Goa,790075,2011
Gujarat,12993135,2011
Haryana,5377003,2011
Himachal Pradesh,621714,2011
Jharkhand,3113182,2011
Karnataka,9930483,2011
Kerala,6072019,2011
Maharashtra,17434099,2011
Madhya Pradesh,7355702,2011
Meghalaya,175737,2011
Mizoram,92648,2011
Manipur,206502,2011
Nagaland,272653,2011
Orissa,3338038,2011
Punjab,5274254,2011
Puduchery,672803,2011
Rajasthan,5859719,2011
Tamil Nadu,12393788,2011
Uttar Pradesh,10563850,2011
Uttarakhand,708595,2011
West Bengal,3260624,2011
Jammu & Kashmir,926961,2011
 Lakshadweep,8753,2011
Tripura,187673,2011
Andaman and Nicobar Islands,69100,2011
Andhra Pradesh,12424328,2012
Assam,1807120,2012
Bihar,3112880,2012
Chandigarh,737263,2012
Chhattisgarh,3104038,2012
Dadra & Nagar Haveli,48550,2012
Daman & Diu,52339,2012
Delhi,4661714,2012
Goa,865609,2012
Gujarat,14413717,2012
Haryana,5978110,2012
Himachal Pradesh,736604,2012
Jharkhand,3157986,2012
Karnataka,10909601,2012
Kerala,6893314,2012
Maharashtra,19432361,2012
Madhya Pradesh,8144159,2012
Meghalaya,197838,2012
Mizoram,101830,2012
Manipur,214523,2012
Nagaland,291438,2012
Orissa,3758530,2012
Punjab,6262939,2012
Puduchery,755276,2012
Rajasthan,6629743,2012
Tamil Nadu,13846378,2012
Uttar Pradesh,12410064,2012
Uttarakhand,897651,2012
West Bengal,3860741,2012
Jammu & Kashmir,916898,2012
 Lakshadweep,9897,2012
Tripura,204218,2012
Andaman and Nicobar Islands,77063,2012
